CREDITCARDKEY,CREDITCARDID,CARDTYPE,CARDNUMBER,EXPMONTH,EXPYEAR,MONTHEXPIRATION,CARDSTATUS,EXPIRING3MONTHS,CREDITMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,1,SuperiorCard,33332664695310,11,2006,-225,Expired,Expired,2013-07-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,fbb15c322e46f7e8ea8a645218584bc2434421a1577b1e7c1706ece81f3e80a8
2,2,Distinguish,55552127249722,8,2005,-240,Expired,Expired,2013-12-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2ee7805c4ae40dcce314f0e5d6349ff04dfef2e6e745d9eb4e09653fa182c3d1
3,3,ColonialVoice,77778344838353,7,2005,-241,Expired,Expired,2014-01-14 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0400e15f93eb1c768e3a3802a325c1f15c674177feab6633b2e67e204005b00c
4,4,ColonialVoice,77774915718248,7,2006,-229,Expired,Expired,2013-05-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,44d2510562eefd4c5a50ed38438ec25c529da0f5640496f6efe096a15ad1de56
5,5,Vista,11114404600042,4,2005,-244,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,24910c6962ce9fa93624fdec0418dbfdebfe870572527aa75135f757f160aa08
6,6,Distinguish,55557132036181,9,2006,-227,Expired,Expired,2014-04-10 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,31ac39cc0a18fc888ad3db50da4be5dcf04d7bf205eb02f3a935e728892d70cb
7,7,Distinguish,55553635401028,6,2007,-218,Expired,Expired,2013-02-01 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1b7077597a8aaada584f70dbf38176ead7a8173c6dbe5e25119f93e9e6141856
8,8,SuperiorCard,33336081193101,7,2007,-217,Expired,Expired,2013-06-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d95ce448e0993a4d6a546a6541d4ea9ac0687ae06c7adebba926bb5219c02c16
9,9,Distinguish,55553465625901,2,2005,-246,Expired,Expired,2013-09-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b9ae708493fd5c474937e7d8de44cddf5b86d384e0c3bbb535c6a075aff44aac
10,10,SuperiorCard,33332126386493,8,2008,-204,Expired,Expired,2011-08-31 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,128a5ddcbd4912f638454edc0c78601cc60b1b21ffec9b616ab018aa9434f7d8
11,11,SuperiorCard,33335352517363,10,2008,-202,Expired,Expired,2014-05-04 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,cff43fa697b1c375dd583b318e168902fbce10622c3914c244897a794f158f18
12,12,SuperiorCard,33334316194519,4,2008,-208,Expired,Expired,2012-05-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,69e13fad9aa815e34597432f2a98189f4d6a21f34a3404a16b7ff08be58dab7d
13,13,Vista,11119775847802,11,2005,-237,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,79e5e442e83863b3a0b013b1f8af32524876a5682dd4939dace8bd122b636e60
14,14,Distinguish,55553287727410,10,2006,-226,Expired,Expired,2013-11-19 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,56e916e9b47a5e4a2559f9529455e190ee5e2c92f5fed06f8621c65645e71367
15,15,SuperiorCard,33336866065599,11,2008,-201,Expired,Expired,2013-01-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0712471640e20d53b823a4f2c9eb80b3127d8420b2320418c69686295376f3ea
16,16,Vista,11111985451507,8,2006,-228,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,35afa749e36a30c7517883ca0169b15e99c9f49cb1d6091648a3eaf1f0b2b50d
17,17,ColonialVoice,77771220960729,8,2008,-204,Expired,Expired,2014-01-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,825e1205462e3cee06337d7e60624b576e8b09f8028663060e8e20ca092ff38a
18,18,ColonialVoice,77773971683137,8,2007,-216,Expired,Expired,2011-12-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9462148b0a4072eb95a779d0631039c44b657086769587073107ab63d436bb2c
19,19,ColonialVoice,77779803886862,9,2007,-215,Expired,Expired,2014-02-04 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3082b119f91e41d5fa7dbed607fe1f809ddd48446e5af0c32dfc10ac64e6b144
20,20,SuperiorCard,33332150058339,3,2007,-221,Expired,Expired,2013-12-17 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f3092699052a20ba504de48f6c909134ec9ec87730f598ddb18c5c43c99ceb25
21,21,SuperiorCard,33336474467548,3,2006,-233,Expired,Expired,2013-09-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,76904a03a54f4edbd07281d1e6b7283190afb946a4a7f4524ac6d8fde218cfa9
22,22,ColonialVoice,77772030376004,3,2005,-245,Expired,Expired,2013-12-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,8fba3c114bea49958a702a46d99eb7dc0a7d707c1187bcf9252f534db313ec6c
23,23,Vista,11117174633569,7,2006,-229,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,606895a4ef093bbad34b77440f1e9dfae5730e6a4021dda4fede67f2f35aeaa4
24,24,Vista,11111658051128,11,2005,-237,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,43eb107a01c99ee58d179c33ff00d3ff1cc237cee86cc75dc1f4ba65ffe77098
25,25,Vista,11119905436490,1,2007,-223,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,7803450ec98eaf04287e5b43cec301dfffb43d9160b63e40ead1683956016231
26,26,Distinguish,55554195847998,11,2008,-201,Expired,Expired,2013-08-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c791ecd4ca86b0a32c9e72ffeceda91006de7cb20730ab89bb3fd8ae74d5b51b
27,27,SuperiorCard,33333837392825,12,2008,-200,Expired,Expired,2013-11-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0ad92b66d25c89397477e456496f9e4af6b49e0838ccb7118d5ff506f7f90e41
28,28,SuperiorCard,33337040086193,12,2006,-224,Expired,Expired,2013-07-31 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,553136479991c77a5819569d284d2a3bba3965a2a98db75da19c4046d5451581
29,29,SuperiorCard,33333594431481,2,2007,-222,Expired,Expired,2014-04-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,766b85721936efca2d6f9c3eeca9c2008835e20f958f4556f0dda17feb5eecfc
